"date","cross","trt","plate","plate.no","well.no","length.pix","calib.pix","length.mm"
2019-03-29,"F02M03",2,1,"1-1C","1-1C-1",349.44,28.38,12.3128964059197
2019-03-29,"F02M03",2,1,"1-1C","1-1C-2",343.09,28.38,12.0891472868217
2019-03-29,"F02M03",2,1,"1-1C","1-1C-3",333.51,28.38,11.7515856236786
2019-03-29,"F02M03",2,1,"1-1C","1-1C-4",360.48,28.38,12.7019027484144
2019-03-29,"F02M03",2,1,"1-1C","1-1C-5",355.48,28.38,12.5257223396758
2019-03-29,"F02M03",2,1,"1-1C","1-1C-6",350.7,28.38,12.3572938689218
2019-03-29,"F02M03",2,1,"1-1D","1-1D-1",328.23,28.38,11.5655391120507
2019-03-29,"F02M03",2,1,"1-1D","1-1D-2",342.24,28.38,12.0591966173362
2019-03-29,"F02M03",2,1,"1-1D","1-1D-3",350.9,28.38,12.3643410852713
2019-03-29,"F02M03",2,1,"1-1D","1-1D-4",350.47,28.38,12.3491895701198
2019-03-29,"F02M03",2,1,"1-1D","1-1D-5",353.81,28.38,12.4668780831572
2019-03-29,"F02M03",2,1,"1-1D","1-1D-6",333.86,28.38,11.7639182522903
2019-04-30,"F09M12",2,2,"1-2B","1-2B-5",309.72,29.05,10.6616179001721
2019-05-10,"F09M12",2,2,"1-2B","1-2B-1",291.12,29.01,10.0351602895553
2019-05-10,"F09M12",2,2,"1-2B","1-2B-6",317.09,29.01,10.9303688383316
2019-05-15,"F09M12",2,2,"1-2A","1-2A-1",307.99,28.5033333333333,10.8054028768565
2019-05-15,"F09M12",2,2,"1-2A","1-2A-2",311.03,28.5033333333333,10.9120570693486
2019-05-15,"F09M12",2,2,"1-2A","1-2A-3",301.75,28.5033333333333,10.5864811133201
2019-05-15,"F09M12",2,2,"1-2A","1-2A-5",314.76,28.5033333333333,11.0429189568472
2019-05-15,"F09M12",2,2,"1-2A","1-2A-6",315.91,28.5033333333333,11.0832651151912
2019-05-15,"F09M12",2,2,"1-2B","1-2B-2",325.65,28.5033333333333,11.4249795345574
2019-05-15,"F09M12",2,2,"1-2B","1-2B-3",297.27,28.5033333333333,10.429306513858
2019-05-15,"F09M12",2,2,"1-2B","1-2B-4",307.87,28.5033333333333,10.8011928429423
