population,temperature,date,mean.daily.temp,ADD
ontario,2,11/26/19,4.532,4.532
ontario,2,11/27/19,3.333666667,7.865666667
ontario,2,11/28/19,3.096041667,10.96170833
ontario,2,11/29/19,2.975333333,13.93704167
ontario,2,11/30/19,1.90532377,15.84236544
ontario,2,12/1/19,1.878774537,17.72113997
ontario,2,12/2/19,1.869711111,19.59085109
ontario,2,12/3/19,1.869898611,21.4607497
ontario,2,12/4/19,1.881883796,23.34263349
ontario,2,12/5/19,1.881475463,25.22410896
ontario,2,12/6/19,1.882648611,27.10675757
ontario,2,12/7/19,1.881614583,28.98837215
ontario,2,12/8/19,1.886022917,30.87439507
ontario,2,12/9/19,1.959390046,32.83378511
ontario,2,12/10/19,1.990545139,34.82433025
ontario,2,12/11/19,1.987742593,36.81207284
ontario,2,12/12/19,2.01076412,38.82283696
ontario,2,12/13/19,2.051672917,40.87450988
ontario,2,12/14/19,2.093967593,42.96847747
ontario,2,12/15/19,2.032006481,45.00048396
ontario,2,12/16/19,2.030575463,47.03105942
ontario,2,12/17/19,2.059895833,49.09095525
ontario,2,12/18/19,2.133831713,51.22478696
ontario,2,12/19/19,2.201153472,53.42594044
ontario,2,12/20/19,2.199128935,55.62506937
ontario,2,12/21/19,2.20038287,57.82545224
ontario,2,12/22/19,2.215419444,60.04087169
ontario,2,12/23/19,2.250530787,62.29140247
ontario,2,12/24/19,2.22524213,64.5166446
ontario,2,12/25/19,2.216022454,66.73266706
ontario,2,12/26/19,2.217606944,68.950274
ontario,2,12/27/19,2.26866412,71.21893812
ontario,2,12/28/19,2.252156713,73.47109484
ontario,2,12/29/19,2.246193056,75.71728789
ontario,2,12/30/19,2.260205093,77.97749298
ontario,2,12/31/19,2.260958102,80.23845109
ontario,2,1/1/20,2.238951389,82.47740247
ontario,2,1/2/20,2.20190162,84.67930409
ontario,2,1/3/20,2.166618981,86.84592308
ontario,2,1/4/20,2.1544875,89.00041058
ontario,2,1/5/20,2.126706944,91.12711752
ontario,2,1/6/20,2.134359028,93.26147655
ontario,2,1/7/20,2.024189583,95.28566613
ontario,2,1/8/20,1.884877315,97.17054345
ontario,2,1/9/20,1.87392662,99.04447007
ontario,2,1/10/20,1.874180556,100.9186506
ontario,2,1/11/20,1.911001157,102.8296518
ontario,2,1/12/20,1.887144676,104.7167965
ontario,2,1/13/20,1.905690741,106.6224872
ontario,2,1/14/20,1.9533875,108.5758747
ontario,2,1/15/20,1.966463889,110.5423386
ontario,2,1/16/20,1.905502778,112.4478414
ontario,2,1/17/20,1.833900231,114.2817416
ontario,2,1/18/20,1.839000694,116.1207423
ontario,2,1/19/20,1.843702083,117.9644444
ontario,2,1/20/20,1.828753009,119.7931974
ontario,2,1/21/20,1.847812037,121.6410094
ontario,2,1/22/20,1.87165787,123.5126673
ontario,2,1/23/20,1.86902037,125.3816877
ontario,2,1/24/20,1.867736343,127.249424
ontario,2,1/25/20,1.879334491,129.1287585
ontario,2,1/26/20,1.902234722,131.0309932
ontario,2,1/27/20,1.91817338,132.9491666
