population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,63.16485064,634.1005573,87.85265778,3.38589927,14.65190436,1225.685467,252.6594026,351.4106311,570.9357067,ADD
LO-Cisco,9.0°C,69.17090053,524.9668111,52.68868041,21.3021074,2.12E-05,1285.404729,276.6836021,210.7547217,455.7959106,ADD
LO-Cisco,9.0°C,72.25798983,555.8700182,72.2383411,16.21666671,16.26457985,1216.687213,289.0319593,288.9533644,483.6120284,ADD
LO-Cisco,9.0°C,54.95340334,632.8949531,51.86059724,2.38E-07,0.000154384,1231.015079,219.8136134,207.442389,577.9415498,ADD
LO-Cisco,9.0°C,70.18015871,594.9191714,66.03836064,18.31453143,0,1332.316317,280.7206348,264.1534426,524.7390127,ADD
LO-Cisco,9.0°C,47.99166499,629.8725366,70.39918292,0,6.23E-07,1289.936576,191.96666,281.5967317,581.8808717,ADD
LO-Cisco,9.0°C,62.62753101,597.1650861,33.71851761,0,24.73140791,1279.967895,250.510124,134.8740704,534.5375551,ADD
LO-Cisco,9.0°C,85.08066515,528.7455404,43.71976234,0,0,1258.432244,340.3226606,174.8790494,443.6648752,ADD
LO-Cisco,9.0°C,28.05565698,625.1315657,74.61892636,0,3.90E-06,1287.368196,112.2226279,298.4757054,597.0759087,ADD
LO-Cisco,9.0°C,107.4418291,556.0949995,25.01455648,0.000191208,23.8426774,1329.95669,429.7673163,100.0582259,448.6531705,ADD
LO-Cisco,9.0°C,97.44969659,572.2628811,57.89817312,16.27489458,19.94585094,1295.444656,389.7987864,231.5926925,474.8131846,ADD
LO-Cisco,9.0°C,68.86989199,624.1506286,45.70869968,8.307373784,0,1265.501487,275.479568,182.8347987,555.2807366,ADD
LO-Cisco,9.0°C,35.68659962,554.5859961,75.52851156,0,54.42499243,1247.84927,142.7463985,302.1140462,518.8993965,ADD
LO-Cisco,9.0°C,59.72022115,521.0343729,63.41111439,12.52126005,0,1251.615633,238.8808846,253.6444575,461.3141517,ADD
LO-Cisco,9.0°C,68.26040956,539.5899806,28.93317183,0.000218062,33.75124374,1372.90714,273.0416382,115.7326873,471.329571,ADD
LO-Cisco,9.0°C,58.24947959,609.5367752,110.2783202,0,30.81313208,1199.093077,232.9979184,441.1132808,551.2872956,ADD
LO-Cisco,9.0°C,65.65624783,635.4690355,18.23487632,4.172687665,34.43013639,1367.468721,262.6249913,72.93950529,569.8127876,ADD
LO-Cisco,9.0°C,60.73375595,551.0533452,69.01374328,0,0.000268296,1239.698301,242.9350238,276.0549731,490.3195893,ADD
LO-Cisco,9.0°C,50.70581,600.0943208,58.14526202,19.43395723,0,1192.280768,202.82324,232.5810481,549.3885108,ADD
LO-Cisco,9.0°C,61.04435123,511.0596926,82.1798638,34.41211236,62.06044881,1149.830349,244.1774049,328.7194552,450.0153413,ADD
LO-Cisco,9.0°C,49.52790446,624.0401139,71.21522114,0,4.57E-06,1259.735196,198.1116178,284.8608846,574.5122095,ADD
LO-Cisco,9.0°C,94.15133465,551.2271688,28.97751193,12.41377623,6.99E-05,1244.814617,376.6053386,115.9100477,457.0758341,ADD
LO-Cisco,9.0°C,54.3293745,612.8517197,30.20452917,0,35.63290333,1334.390397,217.317498,120.8181167,558.5223452,ADD
LO-Cisco,9.0°C,27.17371863,532.1160885,92.6920847,0,6.20E-07,1307.359432,108.6948745,370.7683388,504.9423698,ADD
LO-Cisco,9.0°C,55.14829835,586.5694878,59.32582603,2.10E-07,32.17839808,1192.599322,220.5931934,237.3033041,531.4211894,ADD
LO-Cisco,9.0°C,83.93574657,680.9194255,47.3827728,0,0,1288.566373,335.7429863,189.5310912,596.9836789,ADD
