population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,0.64634337,7.703327494,1.032148344,0,0,16.15644368,2.585373479,4.128593377,7.056984125,dpf
LO-Cisco,9.0°C,0.448824534,8.065473941,1.537534639,0.11174806,0.181325644,15.30001285,1.795298138,6.150138557,7.616649407,dpf
LO-Cisco,9.0°C,0.877063282,8.439598494,1.231961047,0,0,15.62936327,3.508253129,4.927844189,7.562535212,dpf
LO-Cisco,9.0°C,0.962223817,8.118192994,0.969888862,0.377207902,0.062237001,15.87724274,3.848895267,3.879555446,7.155969177,dpf
LO-Cisco,9.0°C,1.01841636,7.719453274,0.811688126,0,2.05E-07,16.78092917,4.073665438,3.246752503,6.701036914,dpf
LO-Cisco,9.0°C,1.00647806,8.466220577,0.717375448,0.060253198,0,16.57627834,4.025912242,2.869501794,7.459742516,dpf
LO-Cisco,9.0°C,0.875771136,7.734098344,0.724838996,0,0.307631747,16.87925077,3.503084543,2.899355985,6.858327208,dpf
LO-Cisco,9.0°C,0.592416122,7.443979408,1.068268181,0,0.257880419,16.36344334,2.369664489,4.273072725,6.851563286,dpf
LO-Cisco,9.0°C,0.567187539,9.034966869,0.528611913,0.433613481,0.001854484,16.97519445,2.268750154,2.114447653,8.46777933,dpf
LO-Cisco,9.0°C,0.5883053,7.061173197,1.388694682,0.005671172,0,16.56238227,2.353221199,5.554778729,6.472867898,dpf
LO-Cisco,9.0°C,0.540903761,7.622364343,1.393200842,0.042789551,0.208714875,15.46468323,2.163615045,5.572803369,7.081460581,dpf
LO-Cisco,9.0°C,0.586080506,8.232819691,0.740540742,0,0.059246418,16.48363371,2.344322023,2.962162969,7.646739185,dpf
LO-Cisco,9.0°C,0.240514574,7.621838907,1.400937209,0,0.480752485,16.78122709,0.962058297,5.603748834,7.381324333,dpf
LO-Cisco,9.0°C,0.218029358,8.362865785,0.916308041,0.35054037,0.251097983,16.08331942,0.872117434,3.665232164,8.144836426,dpf
LO-Cisco,9.0°C,0.672573474,8.407686172,1.089688748,0,0.012587949,16.38449402,2.690293897,4.358754993,7.735112698,dpf
