population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,0.257052603,0.729857391,0.289478271,0.13171081,0,3.289868134,1.028210414,1.157913086,0.472804788,survival
LO-Cisco,9.0°C,0.262585999,0.706965077,0.185626656,0.065760442,1.85E-08,3.289868134,1.050343995,0.742506623,0.444379079,survival
LO-Cisco,9.0°C,0.26587812,0.888206539,0.274707582,0.008389084,1.07E-10,3.289868134,1.063512479,1.098830329,0.622328419,survival
LO-Cisco,9.0°C,0.248256809,0.919637651,0.170320338,0,1.16E-09,3.289868134,0.993027236,0.681281351,0.671380842,survival
LO-Cisco,9.0°C,0.252905719,0.838403063,0.263811257,0.044781502,4.36E-10,3.289868134,1.011622878,1.055245026,0.585497344,survival
LO-Cisco,9.0°C,0.198231263,1.014230064,0.200946629,0,1.29E-13,3.289868134,0.792925054,0.803786517,0.8159988,survival
LO-Cisco,9.0°C,0.322097576,0.68302751,0.343241864,0,0,3.289868134,1.288390304,1.372967455,0.360929934,survival
LO-Cisco,9.0°C,0.337043236,0.744123053,0.191042704,0,0,3.289868134,1.348172944,0.764170817,0.407079817,survival
LO-Cisco,9.0°C,0.290736592,0.829045795,0.128752013,0,8.88E-10,3.289868134,1.162946368,0.515008052,0.538309202,survival
LO-Cisco,9.0°C,0.20531776,0.834146359,0.408880385,0.022081573,2.48E-06,3.289868134,0.82127104,1.635521541,0.628828599,survival
LO-Cisco,9.0°C,0.305347012,0.74281379,0.140272607,0.032636198,0,3.289868134,1.221388048,0.561090426,0.437466778,survival
LO-Cisco,9.0°C,0.036888783,0.880009332,0.433573897,0,0,3.289868134,0.147555133,1.73429559,0.843120549,survival
LO-Cisco,9.0°C,0.172364565,0.736484983,0.376422697,0.000240213,1.26E-06,3.289868134,0.689458261,1.505690787,0.564120418,survival
LO-Cisco,9.0°C,0.250656954,0.696611212,0.237912423,0,1.11E-08,3.289868134,1.002627818,0.951649693,0.445954257,survival
