"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",102.50703836145,525.549744268221,120.937502041069,35.0605735377925,1285.92746628713,410.028153445798,483.750008164276,423.042705906772,"ADD"
"LO-Cisco","9.0°C",42.1348976500246,531.731155751022,60.951214735117,0,1377.77930322888,168.539590600098,243.804858940468,489.596258100998,"ADD"
"LO-Cisco","9.0°C",45.5640729805045,576.742894473835,101.493091738869,9.86095240961206,1292.94672739801,182.256291922018,405.972366955474,531.17882149333,"ADD"
"LO-Cisco","9.0°C",39.4144980895425,571.162388372806,89.5791046056337,56.4106766073029,1289.44412550489,157.65799235817,358.316418422535,531.747890283263,"ADD"
"LO-Cisco","9.0°C",80.7686241671675,704.93513553753,44.7864703056483,0.00808154406211002,1218.62571349327,323.07449666867,179.145881222593,624.166511370362,"ADD"
"LO-Cisco","9.0°C",79.0777197447487,529.828435159258,100.038929819093,4.09805384408373e-05,1224.88333069942,316.310878978995,400.155719276374,450.75071541451,"ADD"
"LO-Cisco","9.0°C",78.4868581176927,563.723526816832,77.6499627223866,9.16411480339263e-07,1202.48891730224,313.947432470771,310.599850889547,485.236668699139,"ADD"
"LO-Cisco","9.0°C",58.4448189102073,649.026133216621,60.6748955780039,0.159545665519948,1201.42413603559,233.779275640829,242.699582312016,590.581314306413,"ADD"
"LO-Cisco","9.0°C",33.6845691048098,545.646490777786,107.124819965945,0,1305.98942872475,134.738276419239,428.499279863779,511.961921672976,"ADD"
"LO-Cisco","9.0°C",43.8957162533237,533.668799370642,137.405393019775,0,1185.72136288765,175.582865013295,549.621572079101,489.773083117318,"ADD"
"LO-Cisco","9.0°C",72.6329345252324,579.8821714947,94.6108376257892,0,1261.10374289163,290.53173810093,378.443350503157,507.249236969468,"ADD"
"LO-Cisco","9.0°C",69.7705319251081,570.145541420193,89.7365886395814,7.68416404754659e-06,1199.48038318301,279.082127700433,358.946354558326,500.375009495084,"ADD"
"LO-Cisco","9.0°C",54.3902085799558,572.875641557606,79.7115584273985,32.0515553790986,1209.18358155768,217.560834319823,318.846233709594,518.48543297765,"ADD"
"LO-Cisco","9.0°C",49.4723895259623,568.806064390685,97.0701008332012,6.63649783392525,1206.0295803686,197.889558103849,388.280403332805,519.333674864723,"ADD"
