"temperature","group","emmean","SE","df","lower.CL","upper.CL",".group"
"2.0°C","LK-Vendace",385.252351778161,8.44948209915185,23.4550276940096,357.425533294188,413.079170262133,"A"
"4.5°C","LK-Vendace",662.550908107252,8.34910380271058,22.361933829749,634.902074577097,690.199741637407,"B"
"7.0°C","LK-Vendace",779.559703799441,8.33819088114547,22.2451339712185,751.929748447164,807.189659151717,"C"
"9.0°C","LK-Vendace",734.118617212955,8.37057418161723,22.5927244217757,706.432341442362,761.804892983549,"D"
"2.0°C","LK-Whitefish",384.44538453954,8.98987707619721,30.0655697455257,355.558782189248,413.331986889832,"A"
"4.5°C","LK-Whitefish",563.806647180966,8.86809786079829,28.4713457469528,535.172679147179,592.440615214753,"E"
"7.0°C","LK-Whitefish",587.869453654572,9.06035768750623,31.0270584026316,558.834271571305,616.90463573784,"F"
"9.0°C","LK-Whitefish",528.243403123485,9.84840267387284,43.3138884413075,497.416645921904,559.070160325065,"G"
"2.0°C","LS-Cisco",294.926225578714,8.02433542676392,19.1165274659736,267.80658574863,322.045865408798,"H"
"4.5°C","LS-Cisco",449.593926420345,8.05504680115135,19.4107791064608,422.428675395569,476.75917744512,"I"
"7.0°C","LS-Cisco",481.448485031848,8.03985470931672,19.2644487070173,454.305837143629,508.591132920068,"J"
"9.0°C","LS-Cisco",433.064098364532,8.07499107228632,19.6032953461016,405.868688342085,460.259508386979,"K"
"2.0°C","LO-Cisco",354.388921042663,7.82606175543233,17.3024998497339,327.542700034212,381.235142051113,"L"
"4.5°C","LO-Cisco",532.209682803933,7.82769847244324,17.3169439201867,505.361378805241,559.057986802624,"G"
"7.0°C","LO-Cisco",547.560977067299,7.8302648934099,17.3396956532058,520.709421513441,574.412532621157,"M"
"9.0°C","LO-Cisco",482.052252272401,7.86252042352279,17.6270913683322,455.159093342181,508.94541120262,"J"
