"temperature","group","emmean","SE","df","lower.CL","upper.CL",".group"
"2.0°C","LK-Vendace",207.639011147649,1.75299908168786,23.8980785730283,201.877901515572,213.400120779727,"A"
"4.5°C","LK-Vendace",176.604847678479,1.73127481425894,22.7372642306127,170.882812481184,182.326882875774,"B"
"7.0°C","LK-Vendace",115.884683642776,1.72891000702148,22.6131174327882,110.166796305656,121.602570979897,"C"
"9.0°C","LK-Vendace",94.0150557130524,1.73592184507836,22.9822152700521,88.2847999642584,99.7453114618464,"D"
"2.0°C","LK-Whitefish",199.90967578215,1.86978059382831,30.9424114663265,193.916330551441,205.903021012858,"E"
"4.5°C","LK-Whitefish",152.454510826932,1.84348913034134,29.24076338335,146.516453010165,158.392568643699,"F"
"7.0°C","LK-Whitefish",88.3210662600464,1.88499386297471,31.970404732925,82.295224540495,94.3469079795979,"G"
"9.0°C","LK-Whitefish",67.035785214592,2.05479365269514,45.1427763983154,60.6193259565606,73.4522444726234,"H"
"2.0°C","LS-Cisco",151.751941892704,1.66086135194641,19.2981985321097,146.146226713992,157.357657071416,"F"
"4.5°C","LS-Cisco",103.263902186012,1.6675216922598,19.6095133625851,97.6481733140362,108.879631057988,"I"
"7.0°C","LS-Cisco",70.0832990036985,1.66422629952248,19.4546144268446,64.4725332678133,75.6940647395836,"J"
"9.0°C","LS-Cisco",49.2623877054309,1.6718473489053,19.8132934329497,43.640035123786,54.8847402870758,"K"
"2.0°C","LO-Cisco",179.246518076039,1.61782410569782,17.3815431964713,173.700773983403,184.792262168674,"L"
"4.5°C","LO-Cisco",122.569549788324,1.6181795063962,17.3967822406776,117.02334970144,128.115749875209,"M"
"7.0°C","LO-Cisco",81.0767625581656,1.61873688511504,17.420797964059,75.5298507503573,86.623674365974,"N"
"9.0°C","LO-Cisco",56.2577610171158,1.62574113465466,17.7241837833415,50.7017381839015,61.8137838503301,"O"
