"temperature","group","prob","SE","df","asymp.LCL","asymp.UCL",".group"
"2.0°C","LK-Vendace",0.903927943120368,0.0211951952163167,Inf,0.820596883665714,0.950869912215396,"A"
"4.5°C","LK-Vendace",0.848864001085564,0.0296281902302065,Inf,0.739477145246375,0.917449326172079,"B"
"7.0°C","LK-Vendace",0.892814604355358,0.0223973499515418,Inf,0.806617008620703,0.943292051554064,"A"
"9.0°C","LK-Vendace",0.794858847415513,0.0373397644413032,Inf,0.663234885926901,0.884033028846353,"CD"
"2.0°C","LK-Whitefish",0.703083068166001,0.0513173977550434,Inf,0.533841633283192,0.830400940594051,"E"
"4.5°C","LK-Whitefish",0.529764575473694,0.0583921502041948,Inf,0.360431998490454,0.692511705042192,"F"
"7.0°C","LK-Whitefish",0.468248009519296,0.0591111105799329,Inf,0.303911321152705,0.639773889763603,"F"
"9.0°C","LK-Whitefish",0.280747617604722,0.0500265229291153,Inf,0.158040484670812,0.448030442107601,"G"
"2.0°C","LS-Cisco",0.808796417083783,0.0318960799080564,Inf,0.696924251142292,0.886121606632838,"BC"
"4.5°C","LS-Cisco",0.767964641290456,0.0366663005258041,Inf,0.643086031680689,0.858747286428944,"DE"
"7.0°C","LS-Cisco",0.780804127098082,0.0351797132442228,Inf,0.659916822132603,0.867357491064455,"CD"
"9.0°C","LS-Cisco",0.725351474618729,0.040796214278167,Inf,0.590491102571752,0.828684460718988,"E"
"2.0°C","LO-Cisco",0.995400951669525,0.00148961304860068,Inf,0.988058324554664,0.998236843928933,"H"
"4.5°C","LO-Cisco",0.995252734253188,0.00153750501628429,Inf,0.987675532597041,0.998179983521317,"H"
"7.0°C","LO-Cisco",0.970571501502097,0.00618490218163693,Inf,0.945628572879932,0.984262279306465,"I"
"9.0°C","LO-Cisco",0.764862504739613,0.0342189429020539,Inf,0.649594597867284,0.850914744677621,"DE"
