"temperature","group","emmean","SE","df","lower.CL","upper.CL",".group"
"2.0°C","LK-Vendace",7.45451609856535,0.10354412331007,7.95773248857644,7.02192400762931,7.88710818950139,"A"
"4.5°C","LK-Vendace",7.4564122527043,0.10332988244507,7.89221753653085,7.02332482414088,7.88949968126772,"A"
"7.0°C","LK-Vendace",7.22030114159306,0.103329882445069,7.89221753653088,6.78721371302965,7.65338857015648,"B"
"9.0°C","LK-Vendace",6.76863447492641,0.103329882445069,7.89221753653097,6.335547046363,7.20172190348983,"C"
"2.0°C","LK-Whitefish",10.0620329563645,0.112011383616871,10.4014257932961,9.63378112633504,10.490284786394,"DE"
"4.5°C","LK-Whitefish",10.1209238920459,0.113553501348636,10.9260563159576,9.69258052316749,10.5492672609244,"D"
"7.0°C","LK-Whitefish",9.86618070628188,0.119434764621363,13.0526026457433,9.43449381633781,10.297867596226,"FG"
"9.0°C","LK-Whitefish",9.20422723524345,0.144566426313169,24.359294172025,8.73011392740391,9.67834054308299,"H"
"2.0°C","LS-Cisco",10.2100244670152,0.106651170437512,8.95082494084958,9.78296704728015,10.6370818867503,"D"
"4.5°C","LS-Cisco",9.93195592003591,0.107611744350267,9.27805080993436,9.50611259862263,10.3577992414492,"EF"
"7.0°C","LS-Cisco",9.50381101535658,0.122974049947554,15.7897088045253,9.07550961005264,9.93211242066053,"I"
"9.0°C","LS-Cisco",8.65388036145974,0.123548694891158,16.094797864675,8.22499794724743,9.08276277567205,"J"
"2.0°C","LO-Cisco",11.316661670183,0.100442406182679,7.05743584350108,10.8755008681724,11.7578224721935,"K"
"4.5°C","LO-Cisco",10.930704499335,0.100601520461965,7.10200323164234,10.4900843282348,11.3713246704352,"L"
"7.0°C","LO-Cisco",10.62905701295,0.102313437793099,7.59641302452984,10.1936250087968,11.0644890171033,"M"
"9.0°C","LO-Cisco",9.76068749730535,0.103759835758323,8.03462361236785,9.32879523006988,10.1925797645408,"G"
