"temperature","group","emmean","SE","df","lower.CL","upper.CL",".group"
"2.0°C","LK-Vendace",0.042780004327474,0.064832989422127,4.18503732098098,0,0.439080302173365,"A"
"4.5°C","LK-Vendace",0.0617520269352287,0.0647865540095432,4.1730654601706,0,0.458754364780998,"A"
"7.0°C","LK-Vendace",0.20517770249078,0.064786554009542,4.17306546017056,0,0.602180040336545,"B"
"9.0°C","LK-Vendace",0.24225440026856,0.064786554009542,4.17306546017049,0,0.639256738114331,"B"
"2.0°C","LK-Whitefish",0.211663005102455,0.0666528313076426,4.65961344414677,0,0.58517485447936,"B"
"4.5°C","LK-Whitefish",0.33582748538324,0.0669990512925819,4.75506774142128,0,0.705651749931419,"C"
"7.0°C","LK-Whitefish",0.66802528262057,0.0683273761907542,5.13433909431991,0.310601947147877,1.02544861809326,"D"
"9.0°C","LK-Whitefish",1.23022269381413,0.0743879300999029,7.13342832619295,0.905051344791995,1.55539404283626,"E"
"2.0°C","LS-Cisco",0.662783047247289,0.0655146266323122,4.36355711587368,0.276179089317219,1.04938700517736,"D"
"4.5°C","LS-Cisco",0.662690717556701,0.065727573039465,4.42057793087685,0.278907829297748,1.04647360581565,"D"
"7.0°C","LS-Cisco",0.835737868788476,0.0692721972269816,5.45372194202878,0.487137058958259,1.18433867861869,"F"
"9.0°C","LS-Cisco",1.19964877374876,0.0694229601128288,5.50139379855717,0.852151639700672,1.54714590779685,"E"
"2.0°C","LO-Cisco",0.401538454173233,0.0641627654897122,4.01541421838757,0,0.808452143830389,"G"
"4.5°C","LO-Cisco",0.431604006751711,0.0641960574110612,4.02375119479287,0.025249164437809,0.837958849065613,"G"
"7.0°C","LO-Cisco",0.744074483064541,0.0645609653044571,4.1159885088137,0.343645484300237,1.14450348182885,"H"
"9.0°C","LO-Cisco",1.17488265599782,0.0648744664389669,4.19650197914054,0.779265896758637,1.570499415237,"E"
