"temperature","group","emmean","SE","df","lower.CL","upper.CL",".group"
"2.0°C","LK-Vendace",400.243129315544,11.4621829641728,40.3835512696282,377.084045263003,423.402213368084,"ab"
"4.5°C","LK-Vendace",678.793796778901,11.4076829205424,39.6445449060537,655.73156845182,701.856025105982,"c"
"7.0°C","LK-Vendace",791.641349230335,11.4003799826212,39.5429042427804,768.592022265825,814.690676194844,"d"
"9.0°C","LK-Vendace",745.447987380841,11.4235704083357,39.865050579691,722.357655520073,768.538319241609,"e"
"2.0°C","LK-Whitefish",386.648911047901,13.2281278710388,43.356006207927,359.978182029093,413.319640066709,"ab"
"4.5°C","LK-Whitefish",568.168971159433,13.1952070160771,42.9161330861043,541.556796162577,594.781146156288,"fg"
"7.0°C","LK-Whitefish",594.68102902164,13.3611834734436,45.0993418794589,567.771860104344,621.590197938937,"h"
"9.0°C","LK-Whitefish",557.324089793906,14.0538937220422,55.05997951475,529.160147001134,585.488032586678,"fg"
"2.0°C","LS-Cisco",297.41703134123,12.7653218475288,37.681440924227,271.567811950207,323.266250732253,"i"
"4.5°C","LS-Cisco",447.278187473945,12.7874745898591,37.9411653746496,421.389980221532,473.166394726358,"aj"
"7.0°C","LS-Cisco",483.35067764789,12.7799364480498,37.8515739338495,457.475716912777,509.225638383004,"kl"
"9.0°C","LS-Cisco",435.775926621498,12.8061713191552,38.1633151362437,409.854830929336,461.697022313659,"aj"
"2.0°C","LO-Cisco",353.741560343873,9.83670256941207,38.9428739153732,333.84401815278,373.639102534966,"bi"
"4.5°C","LO-Cisco",531.506278546623,9.83893388308878,38.9775599156772,511.604789986841,551.407767106406,"fk"
"7.0°C","LO-Cisco",547.444269167278,9.8395696194679,38.9882469480875,527.5416692156,567.346869118956,"gh"
"9.0°C","LO-Cisco",481.826720128547,9.86307020985975,39.3605647563113,461.882619019877,501.770821237217,"jl"
