"temperature","group","emmean","SE","df","lower.CL","upper.CL",".group"
"2.0°C","LK-Vendace",210.850204528525,2.56649525479834,42.3995199878205,205.672252912846,216.028156144204,"A"
"4.5°C","LK-Vendace",179.578960609369,2.5560144582874,41.7308923679765,174.419728937034,184.738192281704,"B"
"7.0°C","LK-Vendace",117.968801602223,2.554599250744,41.6384037577737,112.812084884236,123.125518320209,"C"
"9.0°C","LK-Vendace",96.1997673651565,2.55914107462174,41.9354944971785,91.0349762210161,101.364558509297,"D"
"2.0°C","LK-Whitefish",200.464210693065,2.9424009555676,44.4413627699364,194.535854165032,206.392567221097,"A"
"4.5°C","LK-Whitefish",153.281181141784,2.93623932796773,44.0589187315672,147.363803111367,159.198559172201,"E"
"7.0°C","LK-Whitefish",90.1658648650241,2.96941473426292,46.0712743120935,84.1889925369701,96.1427371930781,"DF"
"9.0°C","LK-Whitefish",73.7551498211006,3.10472263043615,54.9511747748763,67.5330223657943,79.977277276407,"G"
"2.0°C","LS-Cisco",150.318676195007,2.85287727297638,39.3158208187078,144.549668931309,156.087683458705,"E"
"4.5°C","LS-Cisco",101.881636384607,2.85756877566598,39.5718835639702,96.1043274899927,107.658945279221,"D"
"7.0°C","LS-Cisco",70.1970739390234,2.85621981720905,39.4976445528933,64.4221504268588,75.971997451188,"G"
"9.0°C","LS-Cisco",49.7096632680887,2.86129110474825,39.781043998189,43.9257865781471,55.4935399580302,"H"
"2.0°C","LO-Cisco",179.195284703318,2.21778514962468,41.8822682043794,174.719240307808,183.671329098829,"B"
"4.5°C","LO-Cisco",122.474065726757,2.21825968978124,41.9175873680778,117.997175668899,126.950955784616,"C"
"7.0°C","LO-Cisco",81.0290613629007,2.21833489330099,41.9237766573891,76.5520391504751,85.5060835753262,"FG"
"9.0°C","LO-Cisco",56.2961371786045,2.22286888360055,42.2664667332159,51.8110438773216,60.7812304798874,"H"
