"temperature","group","prob","SE","df","asymp.LCL","asymp.UCL",".group"
"2.0°C","LK-Vendace",0.888364643966804,0.0370425009486398,Inf,0.792830119973934,0.943010970208101,"ABC"
"4.5°C","LK-Vendace",0.811770109640064,0.0555682767859308,Inf,0.678912077488266,0.897920503461763,"DEFG"
"7.0°C","LK-Vendace",0.865883985673683,0.0425183330366259,Inf,0.75904359319854,0.929736469259658,"ABDE"
"9.0°C","LK-Vendace",0.739241409075087,0.0697671772394558,Inf,0.582405731205918,0.852129544024165,"FGH"
"2.0°C","LK-Whitefish",0.57707516961595,0.101031549488788,Inf,0.377405706893507,0.754383686963887,"ABDEFG"
"4.5°C","LK-Whitefish",0.351367565594581,0.09262031968416,Inf,0.196305284424288,0.545742196859886,"HI"
"7.0°C","LK-Whitefish",0.288017872191436,0.0839320044997097,Inf,0.153522227056466,0.474317132100602,"I"
"9.0°C","LK-Whitefish",0.125227263572654,0.0458404791822478,Inf,0.0593006972329279,0.245332026088689,"J"
"2.0°C","LS-Cisco",0.823812171236602,0.0556707022955792,Inf,0.687970170064585,0.908390315375712,"ADF"
"4.5°C","LS-Cisco",0.78395819583768,0.0648981095638554,Inf,0.631316167902532,0.884923105162102,"ABDEFG"
"7.0°C","LS-Cisco",0.80342839597031,0.0605324983472179,Inf,0.658504882664421,0.896514601368094,"ABDEFG"
"9.0°C","LS-Cisco",0.723264600242087,0.0764720570451337,Inf,0.552771109183257,0.846778316519691,"BEGHI"
"2.0°C","LO-Cisco",0.996156048857482,0.00150890778275628,Inf,0.991715651626365,0.998220670668596,"K"
"4.5°C","LO-Cisco",0.996276961832866,0.00146597844886324,Inf,0.991956767650711,0.998280708127759,"K"
"7.0°C","LO-Cisco",0.975342804134974,0.00749056183570294,Inf,0.955521620569381,0.986456149567776,"C"
"9.0°C","LO-Cisco",0.785548082951062,0.0491452552792141,Inf,0.674040866451082,0.866466783178075,"ABDEFG"
